compound,adipose_subcutaneous,adipose_visceral_omentum,adrenal_gland,artery_aorta,artery_coronary,artery_tibial,brain_amygdala,brain_anterior_cingulate_cortex_ba24,brain_caudate_basal_ganglia,brain_cerebellar_hemisphere,brain_cerebellum,brain_cortex,brain_frontal_cortex_ba9,brain_hippocampus,brain_hypothalamus,brain_nucleus_accumbens_basal_ganglia,brain_putamen_basal_ganglia,brain_spinal_cord_cervical_c-1,brain_substantia_nigra,breast_mammary_tissue,cells_cultured_fibroblasts,cells_ebv-transformed_lymphocytes,colon_sigmoid,colon_transverse,esophagus_gastroesophageal_junction,esophagus_mucosa,esophagus_muscularis,heart_atrial_appendage,heart_left_ventricle,kidney_cortex,liver,lung,minor_salivary_gland,muscle_skeletal,nerve_tibial,ovary,pancreas,pituitary,prostate,skin_not_sun_exposed_suprapubic,skin_sun_exposed_lower_leg,small_intestine_terminal_ileum,spleen,stomach,testis,thyroid,uterus,vagina,whole_blood
(+)-3-hydroxy-n-methylmorphinan d-tartrate,0.0633311,0.0,0.77072245,0.14819008,-0.57873094,-0.4014404,-0.9068628,-0.6103804,0.0,-0.20698138,0.0,0.0,0.8720588,0.0,0.0,0.0,0.0,-2.0757685,-0.09539784,0.7472489,-0.1566577,0.0,-0.39600956,-0.6103804,0.0,-0.66211194,0.029824844,0.0,0.7788985,0.0,0.0,0.30190817,0.0,0.2362197,-0.66171205,0.0,0.283459,0.0,-0.59948474,0.0,0.004280825,0.0,1.0279204,0.0,0.0,2.1171162,-0.6103804,-0.88334185,-1.1382266
(+)-JQ1,3.4793246,-0.1991069,0.83021003,0.77777636,-0.5910171,1.1305002,-0.30328616,-1.7154015,-3.0347378,-2.4146614,0.42839998,1.372184,1.8960153,5.2165213,0.38826546,2.4581754,2.6070166,0.44285753,2.1977506,-0.2575456,0.5901946,-0.6650001,0.59214103,0.6230993,2.1303794,0.84581375,1.0290638,0.10884242,-2.4819436,-2.2070951,-0.5505588,0.47876993,1.248353,2.1297548,-0.340086,0.8044003,4.498941,-0.1468496,-0.6289612,0.7786659,1.6002339,-0.47686723,-1.661142,-0.03692402,-1.8122776,2.085763,0.97260725,0.4506602,-1.3621492
(-)-JQ1,3.4897773,0.06340375,0.124263495,0.3057468,-1.2107483,-0.7826851,0.014027857,0.34266233,-1.4709765,-0.50262666,1.4999021,-0.14370127,0.66448003,1.8729972,1.7713315,0.90686274,2.8938549,-1.6105268,3.1424546,0.5419011,-1.5962654,-0.9650536,1.2879738,-0.9764619,0.7977187,-0.9285473,1.4313691,1.4704417,-1.2191927,-0.74648505,-2.9248435,-1.4693906,0.4963728,-0.028828662,0.5995312,1.3169932,4.425633,-0.8735945,-0.023865717,0.34819624,2.4081,1.6267574,-0.5961359,0.23317805,-2.327524,1.1042062,3.4461124,2.5380533,-1.548772
(-)-cotinine,-0.41310766,0.08264999,-0.00091351033,1.0784496,0.46025544,0.7848268,-1.682273,-0.97145146,-1.6196995,0.0,-0.67710227,0.08897075,-1.1949205,0.0,0.0,0.0,0.0,0.70940506,0.31014058,0.3330739,-0.11944487,0.0,-0.35278368,0.0,-0.41718867,-0.2749891,0.60792655,0.5949466,0.12505569,-0.5581054,0.0,0.4762116,0.6337255,-0.2710161,-0.07096906,0.0,-1.2403198,0.4549814,1.5220503,0.0,-1.415578,0.0,0.085527174,0.0,0.7901122,0.0,-0.08601338,-0.764216,-0.47799334
(-)-gallocatechin gallate,-0.8762332,-1.4416226,0.45714644,-0.07338466,0.010841276,0.78410304,-0.90407556,-0.32223222,0.07445538,-0.40772727,-0.8731323,0.12945966,0.92649174,0.15708847,2.9415455,-0.24114041,-0.09074955,-0.41541636,1.1543337,-0.3478752,0.6426306,0.5870706,0.018213203,2.2547631,0.28628525,0.23363724,0.91875696,1.4705851,0.2111961,-0.27170745,-0.16403416,-1.6560416,-0.05782849,-0.8995396,1.1645522,-0.44789717,0.1325355,0.06189577,-0.20485853,-0.41331726,-0.55648595,0.26830226,0.21727553,0.25751257,-0.31056133,0.07656681,-1.8870542,1.7483437,-1.0746348
(e)-capsaicin,0.550661,0.46914884,0.09157634,-0.9722409,-0.14313565,0.23718168,0.48881188,-0.12769431,-0.36663684,0.29390892,-1.8098533,0.6761359,-0.48190966,1.4312336,0.33541903,0.0,0.44284067,0.7304631,-0.062422365,-0.14659277,-0.58367735,-1.0298363,-0.027036905,0.44774085,0.20406125,-0.58872277,-1.3578631,-0.20966066,0.43309453,0.93082964,-1.2274921,0.18964763,0.33206305,0.7518564,-0.6661844,-0.5591476,0.2073023,-1.1049262,-0.2408939,0.402597,-1.8730505,0.0,-0.41933903,0.068149954,0.6627657,-0.75267166,-0.61391807,1.0019478,-0.05087385
(s)-(-)-bay k 8644,-0.49931172,-0.28714252,0.9872912,0.7278881,1.0659673,0.17807204,0.021628505,0.90755564,-0.5119986,0.0,-0.44667876,-0.4071266,-0.425511,0.0,0.5457142,1.1090019,-0.77927023,0.021434529,-0.7178762,-0.6733513,0.23352624,1.3111507,0.013922114,0.0,0.46658486,0.34640223,0.00069296535,-0.40410128,0.69340533,-0.024372762,0.52824223,-0.52585936,-0.42742243,1.0763404,0.28033736,-0.098155394,-0.004159045,0.5775329,-0.33544326,-0.31956825,-0.56583774,-0.8525745,0.0197426,0.6720652,-0.7300042,-0.44198334,-0.344592,1.898839,0.86346024
1-benzylimidazole,-1.0443864,0.0,0.03158584,-0.003005939,0.0,0.07801771,1.0108238,0.0,0.0,0.54669213,0.0,0.0,0.0,-0.75657505,1.8432182,-0.7439711,0.0,0.98584324,-1.494616,0.54662126,0.5545915,0.0,0.4276904,0.73020214,-1.2985367,-0.90902066,-0.9037006,0.0,0.0,0.7699677,1.1885847,0.0,-0.7838757,0.40942138,0.50996464,-1.5918603,0.0,0.0,0.73020214,-0.6066099,-1.6485053,0.0,1.5982808,-0.7838757,-0.56269443,0.3705199,0.6161528,-0.67477065,-1.0360817
11k-629s,1.375587,-0.06597945,-0.8901469,-0.2728998,0.29355243,-0.0073091974,0.7603582,-0.19256324,-0.014394819,0.015423786,-2.79737,-0.5971174,0.33821982,-0.7841089,-0.4301665,-0.24258983,0.66825664,-0.39524227,1.0634068,0.82452226,0.63921005,0.0,-1.9185264,-0.7500214,0.34478554,0.5215459,-1.1177169,-0.43622667,-0.075841926,1.1615686,0.5501578,1.1073757,0.98032886,-1.6553297,0.83871686,-1.2116733,-0.00056341366,-0.056233514,0.118262164,-0.0007467773,-1.4765085,-0.3589406,-2.4863386,0.07266566,0.33768257,-0.026196556,-1.1493019,-0.39033684,0.19264494
12k-516s,-0.23133741,-0.7003239,-0.605057,0.028710263,0.7024466,0.43316403,0.0,-0.8536406,-0.440726,0.22049989,-1.5210866,0.5524128,0.49011794,-1.191574,0.57039106,0.115412176,0.53135926,1.6461025,1.5406893,0.62356806,0.01244066,0.0,0.7098479,-0.31323728,1.9251069,-2.2184877,-0.6415304,-1.2249446,-0.45315883,-0.38870856,-1.1118472,0.0,0.36227918,-0.58859277,0.68323094,-2.6426258,1.0175359,0.724037,0.0,-1.3683134,-0.13829497,-1.3998867,-0.39916652,0.69218767,-0.32468012,0.14954191,0.045788154,-0.0104489885,-1.3291878
12k-612s,2.122499,0.0,0.0,0.8227706,0.0,-0.68489945,0.0,0.0,0.0,-0.7976,0.0,0.0,0.0,0.0,1.0279204,0.0,1.0279204,0.0,-0.010397327,-0.7892159,0.0,0.0,0.6886514,0.0,-1.520067,0.0,0.0,0.0,0.0,0.99356055,0.0,0.0,0.99731237,-1.1829561,0.0,0.0,0.0,0.0,0.0,-0.8725437,1.3617898,-1.0896207,0.0,0.0,-0.80458814,0.5912147,0.0,0.0,1.7767751
12k-613s,1.765476,0.036465902,0.9266098,-1.4270954,0.0,0.37165332,-0.1819496,-0.49354064,0.987684,-0.60315645,-0.012154386,-0.5271621,0.20319495,-0.38640913,-0.003825071,-1.5012863,-0.31072474,0.0,-0.12090814,-0.72718894,0.72680515,0.0,0.29315886,0.28493968,0.735242,-0.6060141,0.13651453,0.3547734,-0.21034549,-0.763855,0.56780374,-0.40208986,-0.4661268,-0.23431692,0.12760091,0.7527526,0.0030472088,-0.84039974,-2.0314581,-1.469916,-2.3297942,0.0,-0.7931205,0.13722569,1.7034304,0.9907699,-0.94580925,-0.18534915,-0.020204881
1391-0741,0.27461657,-0.8210634,-0.48869964,-0.04997795,-0.04652958,0.29741666,-0.8718221,0.382603,-0.013583478,-1.8600348,-1.0634604,0.27408552,0.021667076,1.8558686,1.9386454,-0.27408552,2.1776586,0.0,0.43626583,-0.47261444,0.32940057,0.0,-0.30450344,-0.04184308,2.1231828,-0.48036084,-1.0409276,-0.9054541,0.29716298,0.2648037,-0.5368739,-0.35986835,1.4227844,-2.0821404,-0.6039038,-0.25444058,-0.07973166,0.46717104,-1.3101823,-1.235957,0.728529,0.028111367,-1.168711,-0.124823965,0.39039516,-0.5232277,0.021667076,0.16878131,0.39871526
1483-0018,0.23545766,0.104822606,-0.34554678,0.3843251,0.6896222,0.13878375,0.46270713,-0.07448955,0.35400304,-0.6486559,-0.024837568,0.24686912,-1.6476657,-0.7368883,-0.37212896,-0.55996865,1.270013,0.09998147,0.39779118,-0.95535296,0.5845231,0.0,-0.75238043,-0.17952687,0.39221343,-2.3522153,-0.24402116,0.45441234,0.2830157,0.045015175,-2.1662993,-0.013081803,-0.77515274,-0.4555326,-0.641647,-2.5937676,-0.45305875,-0.5121469,-0.05211686,0.37354636,-1.5647956,-0.3416986,-0.53775805,0.25320417,-0.48399386,-0.99434584,0.18198536,-1.032474,0.7334602
1495-0136,0.2502554,0.4717877,0.0,1.592986,0.5082864,-0.7286246,0.12576509,0.0,1.6628017,-0.92699033,0.0,-0.6109414,0.6109414,0.0,1.0640856,1.5023837,0.72826403,0.80479723,-1.1482592,0.0,0.11799516,-1.4056418,0.0,0.5389106,-0.36392567,0.58383733,-1.4749143,-1.3630515,0.5389877,0.59775835,0.22903006,-1.2239902,-1.5023837,1.3183247,-0.39051425,-0.3045016,-0.34406653,-0.10651908,-0.59775835,0.0,-0.26781988,0.99273443,-0.5283578,0.0,-1.1591237,0.2502554,0.0,0.74049014,-0.38421622
15-delta prostaglandin j2,1.1213886,-0.2501872,-0.041720826,-2.5827627,1.8955103,-0.3739552,-0.46938732,-0.43377241,-0.95363563,0.7691835,-0.38007766,-0.9315696,-0.20998608,0.99553,1.4605639,-0.36154652,1.6314117,0.21005915,-0.78533685,0.5030562,-0.086244,0.0,-0.11607922,1.150145,-0.06858557,1.2737653,0.025573421,-0.14084606,0.8427862,0.90415394,-0.77708876,-0.23440751,-0.34381595,1.4084566,-0.4740312,0.9632034,0.73469615,0.3665365,-0.10898774,0.33699062,-1.0297962,-0.24396303,-0.3340524,0.5427618,0.38789457,-0.6378202,-0.743267,1.0140965,-1.3148574
"15-deoxy-?12,14-prostaglandin j2",0.22691682,-0.061229303,-0.27953452,-1.608393,0.1600352,-0.38276568,-0.086657524,-0.45425498,-0.32182005,-0.6275299,-1.2277421,0.30229858,0.08855494,0.16342574,0.5194808,-0.08898961,0.11439919,-0.024914725,0.25416014,0.21567786,-0.48334092,0.0,-0.0913739,0.95520324,0.8783507,0.45768023,-0.7117264,-0.32432896,0.47711253,-0.4674247,0.41417712,-0.54248905,1.2170123,-1.1115586,-2.1987147,0.66352147,0.4281227,0.49946126,-0.63121825,0.1178642,-0.33936104,-0.055413585,0.9907393,0.19622718,-0.71978736,0.87493604,-0.2630007,0.30897418,-0.4421094
1541b,0.057005297,0.0,-0.09464821,-0.32526892,0.0,0.06408318,-0.6994959,-0.06240769,-0.6994959,-0.41373697,0.6502598,0.0,0.12126126,0.0,-0.11095067,0.0,-0.11095067,0.0,0.0,-0.026758663,0.330764,0.0,0.33068305,0.0,0.5198306,0.23822424,-0.3067512,-1.010175,0.0,0.0,-0.14047949,0.9391916,-1.0925214,1.7621424,-0.31562036,-0.15483391,0.9012524,-0.5167959,1.0100712,0.5241448,-1.8376191,0.0,0.56615686,0.0,0.09839435,0.57655793,-1.1123233,-0.5048073,-0.2820835
16-hydroxytriptolide,-0.61560756,-0.06912682,0.14437535,0.77194315,-0.61649036,0.511689,-0.19345812,-0.11752659,-0.43604413,-1.7421144,-2.351919,0.025940526,-1.3049166,-0.5992366,-0.4204705,-0.438853,-0.766946,-0.92123574,0.18706809,0.8373423,-0.32919478,-0.00056026573,-0.037901573,-0.2056685,-1.6704057,-0.95248795,-0.16379732,-0.34806165,1.6076978,-0.797579,-0.13452238,-0.7060468,0.49200377,-0.35699815,-0.38985682,-0.5951365,0.043508783,-0.1506233,0.5085042,-0.1660394,-0.4403781,0.0067287553,-0.020556375,0.1176201,-0.2103556,-0.6301855,0.16571648,0.6736836,-0.34119162
16beta-bromoandrosterone,-0.09600595,-0.24681452,0.47655553,2.2738605,0.0,-1.4184556,0.69200236,-0.14441352,-0.9186217,-0.59554577,-0.6374281,-0.24095921,-0.018030373,0.15343666,-0.29589844,-0.56643236,0.055815402,0.0,0.0,1.6697384,0.086704895,0.0,0.13129677,-0.6336536,-0.5090046,0.6003321,0.22772641,-1.6325611,0.8622907,-0.3902633,0.14390053,0.09819861,0.3769276,-1.0470462,-0.9785514,1.1216052,-0.18265577,1.607623,-0.5451178,-0.61968744,0.6797567,-0.24095921,0.94448966,-0.08321032,0.78796935,0.5757554,0.4503917,0.5606323,-0.1663545
17-beta-estradiol 17-valerate,-1.4529136,-0.7201574,0.0,0.16641414,-0.8439056,0.0,2.1586897,0.0,0.0,-0.66719264,0.0,0.0,-0.9571469,0.0,0.0,0.0,-0.9019596,1.0767865,-2.0621703,-0.7395592,0.7571075,0.0,-0.07851924,0.9427761,0.0,0.0118736,-0.64115554,0.1061508,0.0,2.017846,0.64115554,0.78381586,0.0,1.9309115,-0.62855446,0.8227706,-0.6473664,0.7713241,-0.857752,-0.81263834,-0.5757488,1.0382233,0.8663093,-1.7891052,-0.765793,-0.7165859,0.8227706,0.0,0.0
19-norethindrone,-2.438997,0.0,0.3315811,0.76081717,0.0,0.34818554,-0.0036247987,-1.191939,0.0,0.538186,0.4970131,0.0,-0.34648886,-1.3718246,-0.4830756,-0.53591406,0.5630924,1.2482327,-0.7658867,0.4454401,0.67081296,0.0,-0.54585594,0.91421264,-0.06634837,-0.20755537,-0.40681836,0.5109363,0.055802878,-0.46977288,0.7575629,0.0,-0.45705813,1.2766594,1.0706235,0.41917044,-0.22032909,0.37225655,1.6968911,0.34703258,0.6641558,1.5003524,0.4563623,-1.4219235,-0.069462866,0.20940746,0.072681576,0.07377779,0.0
"2,4-dideoxy-dc-45-a2",0.44460547,0.113522075,-2.02907,-0.33520836,-0.5145402,-0.17046821,-1.437637,0.113522075,0.2572975,0.08338247,0.005803774,0.58193934,-0.08810701,-0.53850067,2.408732,0.2212988,1.200311,-0.67547053,0.8611819,0.18060942,0.75866055,0.0,-0.759117,-0.7830421,0.4989625,-2.1257422,-0.12831025,0.26269165,0.47888237,-0.04398165,-1.1208472,-0.3802038,-0.91675466,-1.9043236,0.12347677,0.84364367,-0.19094267,0.40880316,-0.18422861,-0.0069097164,0.8752202,0.5581197,-0.43662474,-0.19654095,-1.6932104,-0.80359006,-0.38598424,1.4954834,-0.29064706
"2,5-dideoxyadenosine",0.32311776,-0.36054075,-0.30208552,1.8181511,-0.6984696,0.10996717,-0.5174106,-0.14235334,-0.39156917,-0.6851977,0.351669,-0.161826,-0.76314485,0.0,2.0900354,0.0,0.44850966,0.0,0.5880178,0.37565112,-0.27864376,0.0,-0.9805526,-0.05511519,-0.49971873,-0.6478608,-0.014901563,0.76314485,1.0645856,-1.2731878,-0.33339283,0.023230642,-0.35529885,-0.8636456,0.78017485,0.0,-0.6921282,0.086024046,0.055780366,-0.14522931,-0.16728166,0.0,0.7353196,0.3174819,-0.46011293,-0.4508482,-0.376788,-0.83291256,0.12469838
2-(trifluoromethyl)-10h-phenothiazine,-0.41956857,-0.82181805,0.0,-1.5513986,-2.0279942,0.0,0.0,0.0,0.0,0.0,-1.0234425,0.0,0.8418918,0.0,0.95931506,0.0,0.0,0.0,0.53653735,0.5637598,0.16642444,0.0,0.49973992,0.9623012,1.414005,0.65323085,-0.47219452,0.0,-0.44227082,0.0,-1.4764527,0.6626974,1.4617821,1.4049854,0.47219452,0.8418918,0.50557053,0.0,-0.78844756,0.77720535,0.0,0.0,0.0,0.6014346,0.16385359,0.0,0.0,-0.6927764,0.0
2-bromo-n-[3-(butyrylamino)phenyl]benzamide,0.0,0.0,0.0,-1.0661151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4598216,0.0,0.0,0.0,0.0,0.0,-1.5119175,0.0,0.0,0.0,-1.4677349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66236,0.0,0.0,0.0,0.0,0.0,-1.3641546,0.0,-1.4598216,1.5027034,0.0,0.0,0.0,0.0,0.0
2-bromo-n-[3-(propionylamino)phenyl]benzamide,-0.64603126,0.0,-0.68202895,0.12940586,0.0,-0.6975311,0.0,0.0,0.0,0.0,-1.1012548,1.0014212,0.92075247,0.0,0.0,0.0,-0.13547328,0.0,0.6460795,-0.80161077,-0.72215635,0.0,-0.73198336,1.0395408,0.0,0.0,0.0,-1.8104001,0.0,0.0,0.0,0.0,0.0,0.3474598,0.0,0.0,0.12503536,1.0692037,0.0,0.0,-0.58971506,0.0,0.9510346,0.0,0.73076266,0.0,0.13044831,-0.80823755,0.0
2-chloro-7-methoxyphenothiazine,1.5746509,-0.54088086,-1.1413388,0.4166934,0.26943526,0.42294213,0.57815576,0.0,-1.1901017,0.0,1.1324596,2.1049225,1.0355282,-0.35894537,0.82253516,0.0,0.49687135,0.5557525,0.2974802,0.6653969,0.32875282,0.0,-0.018346414,0.0,0.39379537,-0.2877233,-0.37893277,-1.3900113,-0.6066138,-1.0348265,-1.4184494,0.27089518,0.6844923,0.6352207,0.3285205,-1.0068334,0.39087507,-0.73277676,0.012166909,-0.00736365,0.09385133,0.0,2.4961972,0.0,1.2582513,0.34795257,0.28097987,-0.6138278,1.5959315
2-chloroadenosine,2.1397562,0.0,0.29909673,-0.8775272,0.33766112,1.3574374,-0.12138876,0.0,-0.5692577,0.19098555,-0.53861886,-0.5301567,0.38378495,0.5114163,1.3192444,-0.4977124,0.5243625,0.034986064,0.6512343,-0.29327342,1.6161879,0.0,-0.023391485,1.4666111,0.5198306,0.0,0.22158638,0.41381815,0.26703835,-0.5434125,-0.76575404,-0.3754763,-1.3307453,-0.3438932,0.0,-0.15483391,-0.24714881,-0.03266989,0.0,-0.4055095,-0.47965944,0.0,-1.6822007,0.0,-1.2114295,1.3993301,-0.41381815,-0.62154704,0.026953848
2-fluoropalmitic acid,0.23845635,-0.9946772,-0.3201781,-0.3589314,-0.41997367,-0.39139336,0.0,0.078446895,0.0,0.3331467,-0.8380011,0.0,-0.46940103,0.0,0.7383062,0.0,0.53494745,0.0,0.34795892,-0.32842508,0.91159016,0.0,0.2067341,0.6796894,-0.07028832,0.5128245,0.40581208,-1.0314279,0.0110208625,0.0,1.1998734,0.43693924,0.0,-0.07707762,0.5961117,0.007042984,-0.58154607,0.89182585,-2.545497,-0.46940103,-0.16464475,0.0,-0.53494745,0.5081471,-0.34687826,0.5619033,0.0,0.0,0.0
"3,6-diphenyl-1,2,4-triazin-5-yl methyl ether",-0.9192989,0.8418918,1.0253619,0.0,0.88334185,0.0,0.0,0.91771096,0.0,0.0,0.0,0.0,-2.1387138,0.0,1.3080584,0.0,0.0,0.0,1.8048831,-1.0173235,0.92989045,0.0,0.0,0.0,-1.0253619,0.93832195,-0.6487857,0.0,0.7788985,0.0,-1.642502,0.85183334,-0.99731237,2.593681,-0.9131613,1.0441647,0.68489945,0.0,0.90590686,-0.0102125835,0.0,0.0,2.370285,0.0,-1.824598,0.0,-1.1947277,0.0,0.73241204
3-deoxydenosine,0.14224918,0.0,0.64711595,0.48359594,0.4675662,0.0,0.0,-0.068172514,0.0,-0.76520425,-1.3848953,-0.67107797,0.0,0.61551654,-0.122781835,-0.89273095,-1.8453467,0.0,-0.39281154,0.41717526,-0.48688543,0.0,-0.33192345,0.56805205,-1.0977705,0.36900932,-0.6186598,0.54646033,-0.63658416,-0.6851038,-0.64167815,0.027792465,0.0,0.04399804,0.08288947,-0.027924068,-3.6633337,-0.6851038,0.6283404,0.009125143,-0.9515973,0.0,0.718073,0.0,-0.6957641,0.4817826,-2.3590033,-0.5658385,0.02599458
3-methyladenine,-1.4406868,-1.025933,-1.0253506,-0.03100402,-0.209129,-0.76975304,0.0,-0.99450827,1.4899362,-0.15682104,-0.96489537,0.8957261,0.6826111,-0.015286404,0.48954132,0.0,0.7408465,1.0394183,0.59339005,-0.14577936,-1.6472,0.0,-0.10215239,0.32013488,-0.48099205,-0.4143491,-0.12381836,0.07579601,-0.14625008,-0.022708844,-1.2569506,0.013509328,0.2797613,-0.84547114,0.25283688,0.13573068,-1.210239,0.7551949,0.0,-0.24762098,-0.5753979,-0.41111138,0.2641569,0.3974188,0.0,-1.0083536,-0.46791998,-1.8659108,0.31388038
"4-(3,4-dimethoxyphenyl)pyridine hydrobromide wg-7",0.0,0.0,0.0,-0.17050639,0.0,0.0,0.0,0.0,0.0,-0.962626,0.106986865,0.0,0.0,0.0,-1.084908,0.0,0.0,0.0,0.0,0.73131794,0.0,0.0,0.0,0.0,0.707621,-1.3402003,0.6030656,0.91771096,0.83365923,0.0,0.0,1.8436265,0.9477218,0.7097736,-0.80161077,0.0,-0.0065036505,0.962626,0.0,0.0,0.0,0.0,0.8570258,0.0,-0.75670946,-0.16107123,-0.86872894,1.1947277,0.0
4-aminosalicylic acid,0.81077296,0.6918196,-1.0689118,0.44521034,0.6559408,0.16675396,0.0,-0.76512384,0.0,0.67640334,1.703899,0.0,0.0,1.491291,0.12347561,0.6624167,-1.4790446,0.92220324,-1.8245363,-1.7854068,0.6000597,-1.4634154,1.589755,0.17947821,0.1655167,0.79763657,-3.0268722,-0.711258,-0.63131386,0.6489817,0.0,0.6995069,-2.0982609,1.9021361,-1.1236812,0.7062041,0.16002801,-0.108764105,0.17947821,-0.53822184,0.10769928,0.0,0.0,0.0,0.16490047,2.0435772,1.3001447,0.7940112,-0.5933158
4-demethoxydaunorubicin hydrochloride (65),1.361418,0.083483875,-0.6794367,0.47462994,0.41333476,0.025284233,-0.8336412,0.03827816,0.41557607,-0.32805058,0.45994824,0.35403484,0.5309961,0.5413845,1.3972505,0.14805384,0.66684127,0.113807514,0.6493329,0.38050342,2.4011695,-0.46844384,-0.30184656,1.0766181,1.0533121,-0.6393998,0.42336825,0.40166467,0.26705298,-0.10900424,-1.299088,0.37101346,0.8738931,0.112347275,0.04125409,0.70836306,0.23829116,0.4540836,-0.39179254,-0.39165196,-0.6008629,-0.075371176,0.080621324,-0.021116456,-1.047334,0.12840731,-0.28489804,2.8900478,-1.3423524
4-fluoro-n-pyridin-3-yl-benzamide,0.050245546,0.0,-1.0596422,-1.5116009,0.0,0.0,0.0,0.5497639,0.0,0.0,-0.66534036,1.5260288,0.76327443,0.6359309,-1.5862252,0.0,0.0,0.0,-0.37586063,-0.42742255,0.0,1.5411484,-0.6357944,-0.059134115,0.0,-0.66619724,-1.5688543,-1.2633185,-0.42742255,-0.60889804,0.0,0.49101228,0.60889804,-2.2933347,0.31879124,0.50004417,-0.35351244,2.084405,-0.60889804,0.0,0.32819667,0.69752526,-0.53915447,0.0,-0.44962868,-0.75848633,-0.5497639,-1.8030691,0.0
5-azacytidine,0.7194907,-0.09420117,-0.21862884,-0.97129446,0.091828965,-0.14231141,-0.5120943,0.5829288,0.7267402,-0.10281196,-0.011500716,-0.67785424,0.004847601,0.906929,1.7640195,-0.50826263,1.7417562,0.23363036,-0.20895438,-0.89408714,0.8380422,0.0,-0.25388294,0.58531994,0.07920648,0.600586,-0.36061603,-0.57340324,-0.20394574,0.0884378,0.82160366,0.12293299,-0.2588213,-0.80553335,1.1121479,-0.045019902,0.25613675,0.7100727,0.07537701,0.44886467,-1.3396379,-0.06857714,-0.33619207,0.21974027,-0.56317216,1.2324128,-0.12271417,0.6194509,-0.82418585
5-fluorouracil,-1.315878,-0.68486714,0.013622603,0.33296484,0.0,0.06758237,-2.6802092,-0.49309614,0.0,-0.44514588,0.0,0.0,0.0,0.9723825,0.122504994,0.0,0.0,-0.90694207,0.53727484,0.067894295,0.0,0.0,-0.06886132,0.5610053,0.41718867,-0.92782766,0.024523914,0.5110032,0.43788582,-0.07401039,-0.2916665,0.0,0.0,0.7424474,0.80233425,0.74784875,0.0,0.074675165,-0.89965326,-1.2868665,-0.6784553,0.0,0.07204004,0.70806783,0.46025544,0.0,-0.5110032,0.0,-0.47026
5-nonyloxytryptamine,-0.48253605,-0.21846601,0.18247488,0.36300924,-0.4780316,0.3578691,0.97739816,0.39963245,-0.9101493,-0.847736,0.59131104,0.9045929,-0.062620744,-0.12873036,-1.1683677,-0.39506355,-1.1384884,0.42531538,-0.008442438,0.2719102,1.1340387,0.0,-0.8480903,-0.143219,1.7899358,-0.46954045,0.39006534,-0.34392634,-0.61886466,-0.26856878,-0.80324495,-0.08371118,0.80627257,-1.0511658,0.4595805,-0.112989366,0.66801065,-0.025095096,-0.86795896,1.4690629,-0.363552,-0.16312283,0.17512716,0.49003538,-1.0566791,-1.2971064,-0.7675363,-0.20073093,-0.3838809
6-azauridine,-0.8945028,0.12394987,0.41204017,0.097843096,-0.06359395,-0.10917012,-2.925917,-0.48224866,-0.714812,-1.6314318,0.5243625,-0.12442652,0.0,0.0,-0.81381893,0.0,0.5243625,0.0,-0.38413918,-0.48801067,-0.44202745,0.0,0.6850232,1.7837075,0.0,1.3684497,-0.2426332,-0.38378495,0.6944609,0.0,0.2426332,-0.3754763,-0.6096566,-0.09915678,-0.7519895,-0.50004417,-0.6006612,-0.41044825,0.20507537,0.0,-1.2399062,0.0,-0.5243625,0.17364661,0.40524098,0.40688714,0.0,-0.73926234,-0.39197987
6-diazo-5-oxo-l-norleucine,1.1126491,0.58765864,-0.226131,-0.19013764,-0.05402549,0.6113546,-2.071963,-0.3901341,0.30990535,-0.07300652,-0.42407566,0.19401501,0.6434171,0.9656824,0.62095475,0.0,2.6430383,0.051334012,1.0943003,-0.44408086,-0.3274733,-0.07445707,-0.026131915,-0.46011698,0.0,0.008204955,-0.43387398,1.0600306,1.052158,-0.75586814,-1.124473,-0.42893118,1.8558931,0.9445946,0.4615444,1.2986268,0.41815308,0.3116179,0.11922968,0.34337026,0.874941,-0.04269379,-0.021008007,0.14518404,1.5511112,0.65730834,-0.045093186,0.26052696,0.013987872
7-nitroindazole,-1.0480855,0.0,-1.1740224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4281816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6573227,0.0,0.0,1.0724748,0.0,-0.90590686,0.0,0.0,-1.0921838,0.0,-0.38611457,-1.9878278,-0.10600561,0.0,0.0,0.0,0.0,0.0,0.7021985,0.0,0.0,0.0,0.79006803,0.631998,1.345494,0.0,-0.77507234
799264-48-5 mls-0425609,0.5074811,0.0,-0.68138605,-1.4089073,-0.7916176,0.9265819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0973529,0.0,0.0,0.0,0.72324103,0.81352854,0.0,0.0,0.0,-0.8253833,0.0,0.0,0.0,2.1667585,0.84565717,0.0,0.0,-0.8901312,0.0,-0.38115078,-0.5629549,-0.92989045,0.0,-0.9655866,-1.0519241,0.7603887,0.0,0.0,0.0,0.0,-1.8724802,-0.1469528,0.0,0.0,0.0
