compound,adipose_subcutaneous,adipose_visceral_omentum,adrenal_gland,artery_aorta,artery_coronary,artery_tibial,brain_amygdala,brain_anterior_cingulate_cortex_ba24,brain_caudate_basal_ganglia,brain_cerebellar_hemisphere,brain_cerebellum,brain_cortex,brain_frontal_cortex_ba9,brain_hippocampus,brain_hypothalamus,brain_nucleus_accumbens_basal_ganglia,brain_putamen_basal_ganglia,brain_spinal_cord_cervical_c-1,brain_substantia_nigra,breast_mammary_tissue,cells_cultured_fibroblasts,cells_ebv-transformed_lymphocytes,colon_sigmoid,colon_transverse,esophagus_gastroesophageal_junction,esophagus_mucosa,esophagus_muscularis,heart_atrial_appendage,heart_left_ventricle,kidney_cortex,liver,lung,minor_salivary_gland,muscle_skeletal,nerve_tibial,ovary,pancreas,pituitary,prostate,skin_not_sun_exposed_suprapubic,skin_sun_exposed_lower_leg,small_intestine_terminal_ileum,spleen,stomach,testis,thyroid,uterus,vagina,whole_blood
ncgc00188531-01,1.1302938,0.0,0.06736284,-0.5603287,0.5266577,0.6972811,0.37988475,0.52842283,0.37988475,0.0,1.190609,0.61327904,-0.2688812,-0.57437295,-0.30155787,-0.3037682,1.055687,-0.4674316,-0.35426137,-0.47063652,-0.086139895,0.0,-0.48882237,1.2448423,0.9013997,-1.8490778,0.051959515,-0.61391807,-0.51594245,-0.29894146,0.4190511,-0.5728999,1.5319595,-1.5309669,-0.8727193,0.61391807,-0.6948668,0.083230264,-0.2937604,0.8804046,-0.65349466,-0.6749127,0.0,0.3037682,-0.4781593,-0.15605244,0.0,-1.034953,0.36867133
ncgc00188535-01,1.585967,0.63408047,-0.84796625,-0.36764,0.10767355,0.5784827,1.0515063,-0.18825108,0.89505017,-0.06380744,-0.48525655,0.69535947,0.24497242,-0.70154345,-0.008829074,-1.4818449,0.92093384,0.08273393,0.14881097,-0.12764448,-0.33626404,0.0,-0.3877165,1.1836796,1.8023932,0.22093914,-0.16076532,-0.66480553,-0.30935937,-0.45647433,-0.15279554,0.4566889,1.2492735,0.32844308,0.007640608,0.46460614,0.1499208,0.05173898,-0.40258688,-0.21915746,0.19729425,-0.19863532,0.37858212,0.36508054,0.10045766,0.3123785,0.6753251,-0.49817547,-0.46582887
ncgc00188536-01,1.7584305,0.0,-0.101109274,-1.9818821,-0.0020806456,0.36038393,0.9357948,-0.29589298,-0.22809315,-0.05930494,1.0297785,0.019245911,0.16504681,0.2035581,2.2742105,-0.16237311,-0.15611744,0.43362394,0.88991183,-0.24171788,0.45439127,0.57835555,-0.2715961,1.0738554,1.0724492,0.06737041,0.121009514,-0.49503046,0.18003647,0.03685539,-0.31433123,-0.33160123,1.2082537,-1.2230394,-0.3180914,0.08865964,0.6128428,0.8538029,-0.72388965,0.599787,-0.7389084,0.081597224,0.066007406,0.06440842,-0.8840937,-0.87580895,0.36096495,-0.2909774,1.0076305
ncgc00188537-01,-0.42526928,-0.9928404,0.0,-0.5653977,0.44548127,0.84605,2.1300642,0.0,-1.3366201,-0.03436977,-0.013974773,1.1832005,-0.7553539,0.437655,-0.57204723,-0.46155673,-0.58312076,0.73431116,1.3099947,-0.7368182,-0.37229487,0.0,0.0,1.264352,-0.33918196,-0.064094774,-0.04803107,0.0,0.24600631,-0.9164629,0.0,0.7444113,-1.900666,-2.1507723,0.65219116,0.3505959,0.21886009,0.47430834,-1.2551116,-0.5763449,-0.4897017,0.0,-1.6757221,0.07238224,-0.45579177,0.15873098,0.3505959,-1.028602,0.321319
ncgc00188700-01,0.5500926,-0.32675526,0.23784831,-0.119551234,0.46195683,0.43043005,0.65771836,0.060075205,1.808536,-1.4131382,0.0,-0.029194357,-0.3424505,-0.43585712,2.0300615,0.0,0.09501932,0.63459796,-0.23812741,-0.024408437,0.0,0.0,-0.01927188,2.9297147,0.4712141,0.55653054,0.12486956,0.05956626,-0.01927188,0.0,-0.20840406,0.2865142,0.6476653,-1.0193963,-0.34403467,0.053762753,0.8121912,-0.37035823,-0.06319792,-0.8410164,-0.52540326,-0.522394,-0.4488657,0.42343476,-0.4873675,1.2511895,0.0,-0.82616407,-0.23445451
ncgc00188714-01,0.58600086,-0.54088086,-0.3417708,0.8854874,-0.3821783,0.7903762,0.0,0.0,0.77893543,1.0527233,-0.015319126,1.6571649,-0.56430304,0.65794134,0.71325547,0.0,0.570729,0.0,0.8278818,-0.12033809,0.6127522,0.0,-0.34961966,-0.05705501,-0.47239122,-1.0422525,-0.35685813,-0.55923873,-0.67121166,-3.088617,0.5477581,0.024338806,0.6844923,0.0,0.085536845,1.3900113,-1.5717025,0.10963559,-0.06725356,0.42157236,1.1820314,0.0,2.0268075,0.0,0.0,0.32208937,0.0,-0.44831723,0.44354358
ncgc00188721-01,0.845481,0.0,0.0,0.0,0.0,-2.244748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.99275446,0.0,0.0,0.0,1.5336332,1.4431232,-0.83942413,-1.1707375,0.0,0.0,0.0,0.0,0.0,1.4411653,0.0,-1.8405317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.525305,0.0,1.6488781,0.0,0.0
ncgc00188740-01,-0.6890285,-0.76223344,0.15538709,-0.28762463,0.10747863,1.7843093,0.26544744,-0.12946787,0.86848885,-0.30458912,-0.30547008,0.20420955,-1.3063996,-1.128053,-1.3352084,-0.38780487,0.03162589,-0.59005326,0.8746528,-1.1481392,0.711598,0.0,-0.36068615,0.55006707,0.111371286,-0.037236027,0.013563113,-0.7901967,-0.35388204,-0.6428436,-0.16163698,1.0785156,-0.2761168,-0.3477465,-1.0221261,-0.9285772,0.20591405,0.18633771,-0.81019175,-0.64248645,-0.37721932,-0.073995374,-1.5436971,-0.14530955,-0.15757741,-1.4115225,0.39145735,-0.1665022,-0.2582192
ncgc00188773-01,0.9082244,0.0,0.0,0.74680865,0.0,2.7167914,-0.8881341,0.0,1.0761069,0.0,-1.9865782,0.0,-0.66672003,0.0,0.12982617,0.27180076,1.0773491,0.0,1.1614228,0.0,0.4828699,0.0,-0.56269443,-0.5930739,0.0,-1.9864048,0.0,0.0,0.7225175,0.27092502,-1.5266271,-0.25886816,0.66672003,-0.43773952,1.726715,1.5273198,0.39160132,1.6496515,-0.9241905,0.0,1.0016737,0.0,0.582255,0.0,-0.25131774,2.2277658,0.54231393,-1.6241157,1.1177392
ncgc00189393-02,0.831165,0.6850805,0.5374495,0.16445304,-1.3069394,1.0876122,0.0,0.75824666,0.0,0.56747794,0.8812465,0.0,0.0,-0.7806334,0.79562914,-1.0644436,0.10687688,0.0,1.3395247,-0.065013275,0.0,0.0,0.0,0.75824666,-0.60183275,2.582566,1.5573771,0.0,-0.40608478,0.0,0.0,0.0,-0.75238395,0.7130344,1.327262,-0.81126636,-0.06251799,1.7438639,0.7468233,-0.6279314,0.5415473,0.0,0.0,0.0,0.5303735,-0.98539126,-0.6902389,0.0,0.0
ncgc00189555-02,-0.051842406,0.0,-0.7498042,0.4093576,-0.9058088,0.7069535,0.6675577,0.0,0.5316941,-0.6848673,0.5016229,-0.006032286,0.70883167,-0.66791666,0.19480954,0.0,0.6631045,0.644359,1.1748246,-0.16526578,-0.59180564,0.0,0.07876542,1.0358981,-0.43527877,-0.5980148,-2.3265448,-0.5301961,-0.5628963,-1.8517786,0.46155673,0.83757997,-0.5292315,0.017750954,-0.9898316,1.3280015,0.3650455,-0.47430834,-0.56990945,-0.3505959,0.99819005,0.0,0.7421731,0.94689137,0.16526578,0.08180924,0.0,-0.97459084,0.1866908
ncgc00229595-01,0.0,0.0,0.0,-0.41709965,0.0,0.86461633,0.0,0.0,0.0,0.0,0.0,0.73333776,-1.0611039,0.0,-0.12557118,-0.73333776,-1.2793744,0.0,0.5609981,0.94236904,0.0,0.0,0.0,-0.65805346,0.50721735,-1.286547,-0.83942413,-0.6059492,0.0,0.02801136,-0.73333776,0.5694985,1.759356,-0.6633289,0.0,-0.77801347,0.0,-0.6362278,-0.6469642,0.0,-0.44979808,0.0,0.0,0.0,0.0,0.5164254,0.0,0.0,0.0
ncgc00229596-01,0.91328603,0.0,-0.70417374,-0.29268438,0.0,-0.6055018,1.7256237,0.0,0.57461894,-0.9423484,-0.64296263,-1.2723149,-0.38855758,0.0,0.0,-0.6001105,-0.52960974,0.6892558,-0.9329762,-0.38101092,-0.4561646,0.0,0.04367072,-0.055573083,0.3874132,-0.28990445,0.0,-0.08979821,0.56090045,0.49036497,0.50288457,0.46862838,0.09722592,-2.5299263,-0.29760274,-0.48761633,-0.25584668,-0.5159522,-1.0082915,0.0,-0.87726825,0.6749127,-0.5716531,-0.1743226,0.044622548,0.16658382,0.0,0.0,0.49767998
ncgc00229600-01,-0.11479256,-0.30074182,0.37616363,0.64244145,-0.33229178,0.058150697,-0.95023847,-0.65586835,-0.080665536,-1.9978036,-0.5406165,-0.49190605,-0.49363032,-0.72763854,-0.63924325,-1.1002945,-0.62041837,0.0,0.55329686,1.0651946,2.1539574,0.0,-0.5890006,0.05241993,0.9698494,-4.151737,0.0024906637,0.08422082,-0.44015032,-0.4890359,-0.2364501,-0.37610322,-0.07685261,-0.17515618,-0.0074090357,-0.14654258,-0.51895,-0.5800418,0.0,0.37783402,-0.67256564,0.0,-0.07256666,0.0,0.044505015,0.11669735,0.0,-0.9723811,-0.7974219
ncgc00238427-01,-0.37242252,-0.32285193,0.10839223,0.32622454,0.0,-0.25423053,0.6673074,0.43943474,0.5178471,0.39322644,0.0,1.4287082,0.8313428,-0.58969307,0.1296885,0.44826794,1.4182509,0.629821,1.7422535,1.7261158,0.3925485,0.0,0.039969727,0.057899754,0.60381883,-1.5629133,0.09617912,0.093929544,0.25707206,-0.4038004,0.3050444,-0.024824478,0.12788376,0.31299406,0.0114178285,0.11827314,-0.9608827,0.0,0.373189,0.4567522,1.1510844,0.0,1.3330152,-0.39322644,-0.56523883,1.0642955,-0.33847907,-0.94718283,2.3550975
ncgc00238447-01,1.0969474,0.0,0.88751173,0.9571469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.120368,0.0,0.0,0.0,-0.8715585,-1.1969817,0.0,0.82193905,0.0,0.0,0.0,0.0,0.0,-1.1661053,0.0,0.0,1.7272291,0.0,-1.3410192,0.0
ncgc00238536-01,-0.6173366,0.07074103,-0.8607739,-1.9608994,-0.23101196,0.15637176,-0.08955379,0.32873186,-0.4561091,1.1787889,1.1433029,0.45483503,0.07213044,-0.94283646,0.68563616,0.20531695,0.9704331,0.7405962,-0.06094369,-0.6004587,-0.33149114,0.0,1.9474636,0.7785463,-0.12310307,-0.12990375,-0.85355633,0.7591699,-0.014906812,-2.2707934,0.5847532,0.2650316,-0.5383038,0.48447698,-1.2912359,0.07213044,0.6719233,-0.46089655,-0.37937936,-0.9119992,-0.6499818,0.0,-0.30441043,0.6368802,1.0050886,-0.34885725,0.07213044,0.20185588,-0.7777421
